Name,Seasons,Games,AB,Runs,Hits,Doubles,Triples,HR,RBI,BB,SO,BA,OBP,SLG,AdjPro,BatRun,AdjBatRun,RC,SB,CS,SBRuns,FieldAverage,FieldRuns,TotalPyrRate,Position,HOFStatus,Cluster
GEORGE VanHALTREN, 17.0, 1984.0, 8021.0, 1639.0, 2532.0, 285.0, 161.0, 69.0, 1014.0, 868.0, 305.0, 0.316, 0.385, 0.417, 123.0, 257.0, 259.0, 1566.0, 583.0, 0.0, 0.0, 0.915, -6.0, 12.0, O, 0, 0
ARKY VAUGHAN, 14.0, 1817.0, 6622.0, 1173.0, 2103.0, 356.0, 128.0, 96.0, 926.0, 937.0, 276.0, 0.318, 0.406, 0.453, 136.0, 361.0, 356.0, 1323.0, 118.0, 0.0, 0.0, 0.951, -59.0, 39.7, S, 2, 0
BOBBY VEACH, 14.0, 1821.0, 6656.0, 953.0, 2063.0, 393.0, 147.0, 64.0, 1166.0, 571.0, 367.0, 0.31, 0.37, 0.442, 127.0, 221.0, 225.0, 1120.0, 195.0, 84.0, 0.0, 0.964, 38.0, 14.8, O, 0, 0
MICKEY VERNON, 20.0, 2409.0, 8731.0, 1196.0, 2495.0, 490.0, 120.0, 172.0, 1311.0, 955.0, 869.0, 0.286, 0.359, 0.428, 116.0, 155.0, 183.0, 1387.0, 137.0, 90.0, -13.0, 0.99, -32.0, 3.6, 1, 0, 0
JOE VOSMIK, 13.0, 1414.0, 5472.0, 818.0, 1682.0, 335.0, 92.0, 65.0, 874.0, 514.0, 272.0, 0.307, 0.369, 0.438, 104.0, 58.0, 30.0, 895.0, 23.0, 24.0, 0.0, 0.979, 34.0, -0.7, O, 0, 0
HONUS WAGNER, 21.0, 2792.0, 10430.0, 1736.0, 3415.0, 640.0, 252.0, 101.0, 1732.0, 963.0, 327.0, 0.327, 0.39, 0.466, 150.0, 661.0, 644.0, 2231.0, 722.0, 15.0, 0.0, 0.94, 101.0, 82.6, S, 1, 0
DIXIE WALKER, 18.0, 1905.0, 6740.0, 1037.0, 2064.0, 376.0, 96.0, 105.0, 1023.0, 817.0, 325.0, 0.306, 0.383, 0.437, 121.0, 220.0, 204.0, 1171.0, 59.0, 10.0, 0.0, 0.906, -16.0, 11.0, O, 0, 0
GEE WALKER, 15.0, 1784.0, 6771.0, 954.0, 1991.0, 399.0, 76.0, 124.0, 997.0, 330.0, 600.0, 0.294, 0.331, 0.43, 99.0, -33.0, -30.0, 959.0, 223.0, 70.0, 0.0, 0.961, -7.0, -10.2, O, 0, 0
BOBBY WALLACE, 25.0, 2383.0, 8618.0, 1057.0, 2309.0, 391.0, 143.0, 34.0, 1121.0, 774.0, 79.0, 0.268, 0.331, 0.358, 106.0, 35.0, 55.0, 1139.0, 201.0, 2.0, 0.0, 0.938, 212.0, 36.8, S, 2, 0
LLOYD WANER, 18.0, 1993.0, 7772.0, 1201.0, 2459.0, 281.0, 118.0, 27.0, 598.0, 420.0, 173.0, 0.316, 0.353, 0.393, 99.0, 1.0, -12.0, 1092.0, 67.0, 0.0, 0.0, 0.983, 76.0, -3.2, O, 2, 0
PAUL WANER, 20.0, 2549.0, 9459.0, 1627.0, 3152.0, 605.0, 191.0, 113.0, 1309.0, 1091.0, 376.0, 0.333, 0.404, 0.473, 133.0, 491.0, 474.0, 1853.0, 104.0, 0.0, 0.0, 0.975, 40.0, 37.0, O, 1, 0
JOHN WARD, 17.0, 1825.0, 7647.0, 1408.0, 2105.0, 231.0, 96.0, 26.0, 867.0, 420.0, 326.0, 0.275, 0.314, 0.341, 94.0, -59.0, -54.0, 1044.0, 540.0, 0.0, 0.0, 0.885, 132.0, 8.6, S, 2, 0
CLAUDEL WASHINGTON, 17.0, 1912.0, 6787.0, 926.0, 1884.0, 334.0, 69.0, 164.0, 824.0, 468.0, 1266.0, 0.278, 0.328, 0.42, 106.0, 50.0, 42.0, 914.0, 312.0, 134.0, 13.0, 0.973, -55.0, -6.0, O, 0, 0
BOB WATSON, 19.0, 1832.0, 6185.0, 802.0, 1826.0, 307.0, 41.0, 184.0, 989.0, 653.0, 796.0, 0.295, 0.367, 0.447, 130.0, 213.0, 239.0, 1001.0, 27.0, 28.0, -9.0, 0.991, -46.0, 9.4, 1, 0, 0
VIC WERTZ, 17.0, 1862.0, 6099.0, 867.0, 1692.0, 289.0, 42.0, 266.0, 1178.0, 828.0, 842.0, 0.277, 0.366, 0.469, 121.0, 195.0, 180.0, 1079.0, 9.0, 19.0, -9.0, 0.973, 12.0, 9.8, O, 0, 0
SAM WEST, 16.0, 1753.0, 6148.0, 934.0, 1838.0, 347.0, 101.0, 75.0, 838.0, 696.0, 540.0, 0.299, 0.371, 0.425, 103.0, 44.0, 37.0, 991.0, 53.0, 56.0, -18.0, 0.983, 93.0, 2.7, O, 0, 0
ZACK WHEAT, 19.0, 2410.0, 9106.0, 1289.0, 2884.0, 476.0, 172.0, 132.0, 1248.0, 650.0, 559.0, 0.317, 0.367, 0.45, 129.0, 334.0, 335.0, 1539.0, 205.0, 49.0, 0.0, 0.966, 50.0, 24.7, O, 2, 0
FRANK WHITE, 18.0, 2324.0, 7859.0, 912.0, 2006.0, 407.0, 58.0, 160.0, 886.0, 412.0, 1035.0, 0.255, 0.295, 0.383, 85.0, -164.0, -176.0, 866.0, 178.0, 83.0, 4.0, 0.984, 48.0, -0.5, 2, 0, 0
ROY WHITE, 15.0, 1881.0, 6650.0, 964.0, 1803.0, 300.0, 51.0, 160.0, 758.0, 934.0, 708.0, 0.271, 0.363, 0.404, 122.0, 180.0, 206.0, 1020.0, 233.0, 117.0, -0.0, 0.988, 71.0, 20.8, O, 0, 0
BILL WHITE, 13.0, 1673.0, 5972.0, 843.0, 1706.0, 278.0, 65.0, 202.0, 870.0, 596.0, 927.0, 0.286, 0.353, 0.455, 115.0, 177.0, 132.0, 968.0, 103.0, 68.0, -10.0, 0.992, 8.0, 3.4, 1, 0, 0
BILLY WILLIAMS, 18.0, 2488.0, 9350.0, 1410.0, 2711.0, 434.0, 88.0, 426.0, 1475.0, 1045.0, 1046.0, 0.29, 0.364, 0.492, 131.0, 463.0, 401.0, 1671.0, 90.0, 49.0, -2.0, 0.973, -25.0, 27.1, O, 1, 0
CY WILLIAMS, 19.0, 2002.0, 6780.0, 1024.0, 1981.0, 306.0, 74.0, 251.0, 1005.0, 690.0, 721.0, 0.292, 0.365, 0.47, 123.0, 278.0, 218.0, 1177.0, 115.0, 82.0, 0.0, 0.973, 15.0, 9.5, O, 0, 0
KEN WILLIAMS, 14.0, 1397.0, 4862.0, 860.0, 1552.0, 285.0, 77.0, 196.0, 913.0, 566.0, 287.0, 0.319, 0.393, 0.53, 136.0, 278.0, 253.0, 1016.0, 154.0, 105.0, 0.0, 0.958, 48.0, 18.3, O, 0, 0
TED WILLIAMS, 19.0, 2292.0, 7706.0, 1798.0, 2654.0, 525.0, 71.0, 521.0, 1839.0, 2019.0, 709.0, 0.344, 0.483, 0.634, 186.0, 1166.0, 1093.0, 2538.0, 24.0, 17.0, -3.0, 0.974, -34.0, 92.4, O, 1, 0
MAURY WILLS, 14.0, 1942.0, 7588.0, 1067.0, 2134.0, 177.0, 71.0, 20.0, 458.0, 552.0, 684.0, 0.281, 0.331, 0.331, 88.0, -139.0, -115.0, 885.0, 586.0, 208.0, 51.0, 0.963, 30.0, 11.0, S, 0, 0
HACK WILSON, 12.0, 1348.0, 4760.0, 884.0, 1461.0, 266.0, 67.0, 244.0, 1062.0, 674.0, 713.0, 0.307, 0.395, 0.545, 145.0, 305.0, 310.0, 1042.0, 52.0, 5.0, 0.0, 0.965, -62.0, 15.6, O, 2, 0
GENE WOODLING, 17.0, 1796.0, 5587.0, 830.0, 1585.0, 257.0, 63.0, 147.0, 830.0, 921.0, 479.0, 0.284, 0.388, 0.431, 123.0, 186.0, 202.0, 986.0, 29.0, 45.0, 0.0, 0.989, -31.0, 8.0, O, 0, 0
JIM WYNN, 15.0, 1920.0, 6653.0, 1105.0, 1665.0, 285.0, 39.0, 291.0, 964.0, 1224.0, 1427.0, 0.25, 0.369, 0.436, 129.0, 256.0, 281.0, 1148.0, 225.0, 101.0, 7.0, 0.981, 72.0, 28.4, O, 0, 0
CARL YASTRZEMSKI, 23.0, 3308.0, 11988.0, 1816.0, 3419.0, 646.0, 59.0, 452.0, 1844.0, 1845.0, 1393.0, 0.285, 0.382, 0.462, 128.0, 617.0, 515.0, 2147.0, 168.0, 116.0, -19.0, 0.981, 149.0, 50.8, O, 1, 0
RUDY YORK, 13.0, 1603.0, 5891.0, 876.0, 1621.0, 291.0, 52.0, 277.0, 1152.0, 792.0, 867.0, 0.275, 0.362, 0.483, 121.0, 223.0, 175.0, 1057.0, 38.0, 26.0, -4.0, 0.99, 16.0, 11.5, 1, 0, 0
EDDIE YOST, 18.0, 2109.0, 7346.0, 1215.0, 1863.0, 337.0, 56.0, 139.0, 683.0, 1614.0, 920.0, 0.254, 0.395, 0.371, 109.0, 154.0, 170.0, 1225.0, 72.0, 66.0, -18.0, 0.957, -169.0, -3.2, 3, 0, 0
ROSS YOUNGS, 10.0, 1211.0, 4627.0, 812.0, 1491.0, 236.0, 93.0, 42.0, 592.0, 550.0, 390.0, 0.322, 0.399, 0.441, 131.0, 201.0, 210.0, 831.0, 153.0, 83.0, 0.0, 0.953, -4.0, 10.5, O, 2, 0
HEINIE ZIMMERMAN, 13.0, 1456.0, 5304.0, 695.0, 1566.0, 275.0, 105.0, 58.0, 796.0, 242.0, 404.0, 0.295, 0.331, 0.419, 121.0, 116.0, 115.0, 776.0, 175.0, 33.0, 0.0, 0.928, -28.0, 11.0, 3, 0, 0
RICHIE ZISK, 13.0, 1453.0, 5144.0, 681.0, 1477.0, 245.0, 26.0, 207.0, 792.0, 533.0, 910.0, 0.287, 0.355, 0.466, 126.0, 174.0, 176.0, 834.0, 8.0, 15.0, -7.0, 0.981, 3.0, 13.8, O, 0, 0
JERRY ADAIR, 13.0, 1165.0, 4019.0, 378.0, 1022.0, 163.0, 19.0, 57.0, 366.0, 208.0, 499.0, 0.254, 0.294, 0.347, 80.0, -117.0, -113.0, 376.0, 29.0, 29.0, -9.0, 0.985, -30.0, -6.6, 2, 0, 1
SPARKY ADAMS, 13.0, 1424.0, 5557.0, 844.0, 1588.0, 249.0, 48.0, 9.0, 394.0, 453.0, 223.0, 0.286, 0.343, 0.353, 82.0, -121.0, -133.0, 679.0, 154.0, 50.0, 0.0, 0.974, -37.0, -10.1, 2, 0, 1
BOBBY ADAMS, 14.0, 1281.0, 4019.0, 591.0, 1082.0, 188.0, 49.0, 37.0, 303.0, 414.0, 447.0, 0.269, 0.34, 0.368, 90.0, -54.0, -54.0, 523.0, 67.0, 30.0, 0.0, 0.955, 10.0, -4.3, 3, 0, 1
TOMMIE AGEE, 12.0, 1129.0, 3912.0, 558.0, 999.0, 170.0, 27.0, 130.0, 433.0, 342.0, 918.0, 0.255, 0.321, 0.412, 108.0, 26.0, 34.0, 507.0, 167.0, 81.0, 2.0, 0.975, 19.0, 0.0, O, 0, 1
LUIS AGUAYO, 10.0, 568.0, 1104.0, 142.0, 260.0, 43.0, 10.0, 37.0, 109.0, 94.0, 220.0, 0.236, 0.307, 0.393, 91.0, -13.0, -16.0, 133.0, 7.0, 5.0, -1.0, 0.96, -2.0, 0.0, S, 0, 1
EDDIE AINSMITH, 15.0, 1078.0, 3048.0, 299.0, 707.0, 108.0, 54.0, 22.0, 317.0, 263.0, 315.0, 0.232, 0.296, 0.324, 76.0, -105.0, -99.0, 317.0, 86.0, 16.0, 0.0, 0.966, 42.0, 1.4, C, 0, 1
BERNIE ALLEN, 12.0, 1139.0, 3404.0, 357.0, 815.0, 140.0, 21.0, 73.0, 351.0, 370.0, 424.0, 0.239, 0.315, 0.357, 91.0, -44.0, -42.0, 391.0, 13.0, 16.0, -6.0, 0.98, -48.0, -2.9, 2, 0, 1
ETHAN ALLEN, 13.0, 1281.0, 4418.0, 623.0, 1325.0, 255.0, 45.0, 47.0, 501.0, 223.0, 310.0, 0.3, 0.336, 0.41, 92.0, -40.0, -55.0, 606.0, 84.0, 4.0, 0.0, 0.981, 0.0, -10.8, O, 0, 1
GENE ALLEY, 11.0, 1195.0, 3927.0, 442.0, 999.0, 140.0, 44.0, 55.0, 342.0, 300.0, 622.0, 0.254, 0.312, 0.354, 88.0, -65.0, -61.0, 428.0, 63.0, 30.0, 1.0, 0.97, 125.0, 18.2, S, 0, 1
BILL ALMON, 15.0, 1236.0, 3330.0, 390.0, 846.0, 138.0, 25.0, 36.0, 296.0, 250.0, 636.0, 0.254, 0.307, 0.343, 83.0, -95.0, -74.0, 354.0, 128.0, 60.0, 2.0, 0.956, -1.0, -2.5, S, 0, 1
SANDY ALOMAR, 15.0, 1481.0, 4760.0, 558.0, 1168.0, 126.0, 19.0, 13.0, 282.0, 302.0, 482.0, 0.245, 0.291, 0.288, 68.0, -213.0, -192.0, 421.0, 227.0, 80.0, 20.0, 0.977, 31.0, -5.8, 2, 0, 1
JESUS ALOU, 15.0, 1380.0, 4345.0, 448.0, 1216.0, 170.0, 26.0, 32.0, 377.0, 138.0, 267.0, 0.28, 0.307, 0.353, 87.0, -89.0, -82.0, 426.0, 31.0, 46.0, -18.0, 0.968, -28.0, -19.0, O, 0, 1
MATTY ALOU, 15.0, 1667.0, 5789.0, 780.0, 1777.0, 236.0, 50.0, 31.0, 427.0, 311.0, 377.0, 0.307, 0.346, 0.381, 105.0, 30.0, 35.0, 764.0, 156.0, 80.0, -1.0, 0.979, -41.0, -8.9, O, 0, 1
JOEY AMALFITANO, 10.0, 643.0, 1715.0, 248.0, 418.0, 67.0, 19.0, 9.0, 123.0, 185.0, 224.0, 0.244, 0.322, 0.321, 78.0, -52.0, -46.0, 180.0, 19.0, 26.0, -10.0, 0.97, 2.0, -2.0, 2, 0, 1
RUBEN AMARO, 11.0, 940.0, 2155.0, 211.0, 505.0, 75.0, 13.0, 8.0, 156.0, 227.0, 280.0, 0.234, 0.31, 0.292, 70.0, -84.0, -79.0, 200.0, 11.0, 14.0, -5.0, 0.967, 24.0, -1.4, S, 0, 1
DAVE ANDERSON, 10.0, 873.0, 2026.0, 244.0, 490.0, 73.0, 12.0, 19.0, 143.0, 206.0, 331.0, 0.242, 0.313, 0.318, 79.0, -61.0, -54.0, 204.0, 49.0, 30.0, -3.0, 0.97, 54.0, 3.2, S, 0, 1
JIMMY ARCHER, 12.0, 847.0, 2646.0, 246.0, 660.0, 106.0, 33.0, 17.0, 296.0, 124.0, 241.0, 0.249, 0.288, 0.334, 80.0, -71.0, -74.0, 266.0, 36.0, 6.0, 0.0, 0.971, 4.0, -1.0, C, 0, 1
TONY ARMAS, 14.0, 1432.0, 5164.0, 614.0, 1302.0, 204.0, 39.0, 251.0, 815.0, 260.0, 1201.0, 0.252, 0.29, 0.453, 103.0, -12.0, -6.0, 629.0, 18.0, 20.0, -7.0, 0.981, 38.0, -1.8, O, 0, 1
ALAN ASHBY, 17.0, 1370.0, 4123.0, 397.0, 1010.0, 183.0, 13.0, 90.0, 513.0, 461.0, 622.0, 0.245, 0.323, 0.361, 93.0, -53.0, -35.0, 478.0, 7.0, 10.0, -4.0, 0.986, -41.0, -2.3, C, 0, 1
BOB ASPROMONTE, 13.0, 1324.0, 4369.0, 386.0, 1103.0, 135.0, 26.0, 60.0, 457.0, 333.0, 459.0, 0.252, 0.31, 0.336, 86.0, -103.0, -81.0, 441.0, 19.0, 24.0, -9.0, 0.96, -58.0, -16.9, 3, 0, 1
JOE ASTROTH, 10.0, 544.0, 1579.0, 163.0, 401.0, 51.0, 10.0, 13.0, 156.0, 177.0, 124.0, 0.254, 0.334, 0.324, 77.0, -44.0, -48.0, 175.0, 6.0, 6.0, -2.0, 0.987, -2.0, -3.1, C, 0, 1
RICK AUERBACH, 11.0, 624.0, 1407.0, 167.0, 309.0, 56.0, 5.0, 9.0, 86.0, 127.0, 198.0, 0.22, 0.287, 0.286, 65.0, -64.0, -62.0, 119.0, 36.0, 21.0, -2.0, 0.96, -9.0, -3.1, S, 0, 1
JIMMY AUSTIN, 18.0, 1580.0, 5388.0, 661.0, 1328.0, 174.0, 76.0, 13.0, 390.0, 592.0, 363.0, 0.246, 0.326, 0.314, 90.0, -71.0, -59.0, 633.0, 244.0, 43.0, 0.0, 0.933, 33.0, 0.2, 3, 0, 1
BOBBY AVILA, 11.0, 1300.0, 4620.0, 725.0, 1296.0, 185.0, 35.0, 80.0, 467.0, 561.0, 399.0, 0.281, 0.36, 0.388, 104.0, 23.0, 33.0, 666.0, 78.0, 52.0, -8.0, 0.979, -57.0, 4.2, 2, 0, 1
BENNY AYALA, 10.0, 425.0, 865.0, 114.0, 217.0, 42.0, 1.0, 38.0, 145.0, 71.0, 136.0, 0.251, 0.309, 0.434, 104.0, 1.0, 2.0, 113.0, 2.0, 4.0, -2.0, 0.958, -18.0, -2.0, O, 0, 1
JOE AZCUE, 11.0, 909.0, 2828.0, 201.0, 712.0, 94.0, 9.0, 50.0, 304.0, 207.0, 344.0, 0.252, 0.307, 0.344, 85.0, -59.0, -57.0, 287.0, 5.0, 12.0, -6.0, 0.992, 25.0, 0.7, C, 0, 1
ED BAILEY, 14.0, 1212.0, 3581.0, 432.0, 915.0, 128.0, 15.0, 155.0, 540.0, 545.0, 577.0, 0.256, 0.358, 0.429, 110.0, 69.0, 58.0, 566.0, 17.0, 18.0, -6.0, 0.986, -54.0, 4.9, C, 0, 1
BOB BAILOR, 11.0, 955.0, 2937.0, 339.0, 775.0, 107.0, 23.0, 9.0, 222.0, 187.0, 164.0, 0.264, 0.312, 0.325, 76.0, -92.0, -95.0, 305.0, 90.0, 36.0, 5.0, 0.98, 26.0, -5.8, O, 0, 1
FLOYD BAKER, 13.0, 874.0, 2280.0, 285.0, 573.0, 76.0, 13.0, 1.0, 196.0, 382.0, 165.0, 0.251, 0.36, 0.297, 82.0, -47.0, -41.0, 279.0, 23.0, 25.0, -8.0, 0.971, 34.0, -0.9, 3, 0, 1
ALAN BANNISTER, 12.0, 972.0, 3007.0, 430.0, 811.0, 143.0, 28.0, 19.0, 288.0, 292.0, 318.0, 0.27, 0.337, 0.355, 90.0, -32.0, -35.0, 381.0, 108.0, 37.0, 10.0, 0.983, -133.0, -14.1, O, 0, 1
JESSE BARFIELD, 12.0, 1428.0, 4759.0, 715.0, 1219.0, 216.0, 30.0, 241.0, 716.0, 551.0, 1234.0, 0.256, 0.338, 0.466, 116.0, 117.0, 101.0, 749.0, 66.0, 47.0, -8.0, 0.98, 114.0, 16.5, O, 0, 1
JIMMY BARRETT, 10.0, 866.0, 3306.0, 580.0, 962.0, 83.0, 47.0, 16.0, 255.0, 440.0, 0.0, 0.291, 0.379, 0.359, 117.0, 90.0, 91.0, 533.0, 143.0, 0.0, 0.0, 0.954, 44.0, 7.6, O, 0, 1
MARTY BARRETT, 10.0, 941.0, 3378.0, 418.0, 938.0, 163.0, 9.0, 18.0, 314.0, 304.0, 209.0, 0.278, 0.34, 0.347, 86.0, -43.0, -58.0, 412.0, 57.0, 21.0, 5.0, 0.986, 66.0, 4.4, 2, 0, 1
SHAD BARRY, 10.0, 1100.0, 4014.0, 516.0, 1073.0, 128.0, 47.0, 10.0, 391.0, 279.0, 0.0, 0.267, 0.32, 0.33, 93.0, -28.0, -36.0, 501.0, 140.0, 0.0, 0.0, 0.955, -64.0, -13.9, O, 0, 1
JACK BARRY, 11.0, 1223.0, 4146.0, 532.0, 1009.0, 142.0, 38.0, 10.0, 429.0, 396.0, 142.0, 0.243, 0.321, 0.303, 88.0, -62.0, -53.0, 476.0, 153.0, 18.0, 0.0, 0.935, -105.0, -10.5, S, 0, 1
BOB BARTON, 10.0, 393.0, 1049.0, 54.0, 237.0, 31.0, 3.0, 9.0, 66.0, 87.0, 168.0, 0.226, 0.288, 0.287, 65.0, -52.0, -48.0, 85.0, 3.0, 6.0, -3.0, 0.987, 53.0, 1.8, C, 0, 1
JOHN BATEMAN, 10.0, 1017.0, 3330.0, 250.0, 765.0, 123.0, 18.0, 81.0, 375.0, 172.0, 610.0, 0.23, 0.273, 0.35, 77.0, -118.0, -109.0, 289.0, 10.0, 10.0, -3.0, 0.982, -3.0, -7.4, C, 0, 1
EARL BATTEY, 13.0, 1141.0, 3586.0, 393.0, 969.0, 150.0, 17.0, 104.0, 449.0, 421.0, 470.0, 0.27, 0.351, 0.409, 106.0, 50.0, 38.0, 508.0, 13.0, 12.0, -3.0, 0.99, 23.0, 10.9, C, 0, 1
MATT BATTS, 10.0, 546.0, 1605.0, 163.0, 432.0, 95.0, 11.0, 26.0, 220.0, 143.0, 163.0, 0.269, 0.33, 0.391, 89.0, -20.0, -28.0, 208.0, 6.0, 4.0, -1.0, 0.983, -10.0, -1.8, C, 0, 1
FRANK BAUMHOLTZ, 10.0, 1019.0, 3477.0, 450.0, 1010.0, 165.0, 51.0, 25.0, 272.0, 258.0, 258.0, 0.29, 0.342, 0.389, 95.0, -26.0, -26.0, 470.0, 30.0, 20.0, 0.0, 0.98, -20.0, -8.9, O, 0, 1
JIM BEAUCHAMP, 10.0, 393.0, 661.0, 79.0, 153.0, 18.0, 4.0, 14.0, 90.0, 54.0, 150.0, 0.231, 0.292, 0.334, 76.0, -21.0, -22.0, 66.0, 6.0, 5.0, -1.0, 0.98, -3.0, -3.6, 1, 0, 1
GLENN BECKERT, 11.0, 1320.0, 5208.0, 685.0, 1473.0, 196.0, 31.0, 22.0, 360.0, 260.0, 243.0, 0.283, 0.319, 0.345, 81.0, -89.0, -133.0, 565.0, 49.0, 25.0, -0.0, 0.973, -7.0, -4.9, 2, 0, 1
MARK BELANGER, 18.0, 2016.0, 5784.0, 676.0, 1316.0, 175.0, 33.0, 20.0, 389.0, 576.0, 839.0, 0.228, 0.302, 0.28, 68.0, -245.0, -229.0, 533.0, 167.0, 75.0, 5.0, 0.977, 169.0, 15.7, S, 0, 1
BRUCE BENEDICT, 12.0, 982.0, 2878.0, 214.0, 696.0, 98.0, 6.0, 18.0, 260.0, 328.0, 251.0, 0.242, 0.322, 0.299, 71.0, -90.0, -108.0, 282.0, 12.0, 20.0, -8.0, 0.99, 47.0, -3.0, C, 0, 1
BENNY BENGOUGH, 10.0, 411.0, 1125.0, 83.0, 287.0, 46.0, 12.0, 0.0, 108.0, 62.0, 45.0, 0.255, 0.295, 0.317, 59.0, -71.0, -70.0, 107.0, 2.0, 9.0, -5.0, 0.988, 45.0, -0.8, C, 0, 1
JUAN BENIQUEZ, 17.0, 1500.0, 4651.0, 610.0, 1274.0, 190.0, 30.0, 79.0, 476.0, 349.0, 551.0, 0.274, 0.329, 0.379, 95.0, -22.0, -30.0, 553.0, 104.0, 76.0, -14.0, 0.977, -60.0, -14.1, O, 0, 1
CHARLIE BENNETT, 15.0, 1062.0, 3821.0, 549.0, 978.0, 203.0, 67.0, 55.0, 533.0, 478.0, 572.0, 0.256, 0.34, 0.387, 119.0, 111.0, 93.0, 532.0, 42.0, 0.0, 0.0, 0.942, 57.0, 19.6, C, 0, 1
JOHNNY BERARDINO, 11.0, 912.0, 3028.0, 334.0, 755.0, 167.0, 23.0, 36.0, 387.0, 284.0, 268.0, 0.249, 0.316, 0.355, 77.0, -93.0, -102.0, 339.0, 27.0, 29.0, 0.0, 0.968, 1.0, -6.6, 2, 0, 1
MOE BERG, 15.0, 663.0, 1813.0, 150.0, 441.0, 71.0, 6.0, 6.0, 206.0, 78.0, 117.0, 0.243, 0.278, 0.299, 49.0, -140.0, -139.0, 156.0, 11.0, 5.0, 0.0, 0.986, 29.0, -6.8, C, 0, 1
BILL BERGEN, 11.0, 947.0, 3028.0, 138.0, 516.0, 45.0, 21.0, 2.0, 193.0, 88.0, 81.0, 0.17, 0.194, 0.201, 20.0, -298.0, -290.0, 134.0, 23.0, 0.0, 0.0, 0.972, 117.0, -8.9, C, 0, 1
DAVE BERGMAN, 17.0, 1349.0, 2679.0, 312.0, 690.0, 100.0, 16.0, 54.0, 289.0, 380.0, 347.0, 0.258, 0.351, 0.367, 102.0, 9.0, 16.0, 364.0, 19.0, 14.0, -3.0, 0.992, 15.0, -1.1, 1, 0, 1
TONY BERNAZARD, 10.0, 1071.0, 3700.0, 523.0, 970.0, 177.0, 30.0, 75.0, 391.0, 428.0, 606.0, 0.262, 0.341, 0.387, 100.0, 4.0, 5.0, 508.0, 113.0, 55.0, 1.0, 0.978, -48.0, 0.8, 2, 0, 1
DALE BERRA, 11.0, 853.0, 2553.0, 236.0, 603.0, 109.0, 9.0, 49.0, 278.0, 210.0, 422.0, 0.236, 0.297, 0.344, 76.0, -78.0, -84.0, 258.0, 32.0, 17.0, -1.0, 0.959, 21.0, -1.2, S, 0, 1
RAY BERRES, 11.0, 561.0, 1330.0, 96.0, 287.0, 37.0, 3.0, 3.0, 78.0, 76.0, 134.0, 0.216, 0.26, 0.255, 43.0, -106.0, -102.0, 87.0, 4.0, 0.0, 0.0, 0.989, 40.0, -3.6, C, 0, 1
KEN BERRY, 14.0, 1383.0, 4136.0, 422.0, 1053.0, 150.0, 23.0, 58.0, 343.0, 298.0, 569.0, 0.255, 0.309, 0.344, 90.0, -67.0, -54.0, 425.0, 45.0, 46.0, -14.0, 0.989, -5.0, -13.8, O, 0, 1
CHARLIE BERRY, 11.0, 709.0, 2018.0, 196.0, 539.0, 88.0, 29.0, 23.0, 256.0, 160.0, 196.0, 0.267, 0.322, 0.374, 83.0, -62.0, -51.0, 251.0, 13.0, 5.0, 1.0, 0.982, -12.0, -2.2, C, 0, 1
RENO BERTOIA, 10.0, 612.0, 1745.0, 204.0, 425.0, 60.0, 10.0, 27.0, 171.0, 142.0, 252.0, 0.244, 0.306, 0.336, 73.0, -63.0, -66.0, 177.0, 16.0, 15.0, -4.0, 0.949, 8.0, -5.3, 3, 0, 1
BOB BESCHER, 11.0, 1228.0, 4536.0, 749.0, 1171.0, 190.0, 74.0, 28.0, 345.0, 619.0, 451.0, 0.258, 0.353, 0.351, 109.0, 56.0, 68.0, 690.0, 427.0, 31.0, 0.0, 0.96, 9.0, 2.0, O, 0, 1
KURT BEVACQUA, 15.0, 970.0, 2117.0, 214.0, 499.0, 90.0, 11.0, 27.0, 275.0, 221.0, 329.0, 0.236, 0.309, 0.327, 78.0, -60.0, -60.0, 210.0, 12.0, 20.0, -8.0, 0.938, -42.0, -11.8, 3, 0, 1
LOU BIERBAUER, 13.0, 1383.0, 5706.0, 819.0, 1521.0, 208.0, 95.0, 33.0, 706.0, 268.0, 129.0, 0.267, 0.301, 0.354, 85.0, -130.0, -126.0, 701.0, 206.0, 0.0, 0.0, 0.935, 151.0, 6.6, 2, 0, 1
CARSON BIGBEE, 11.0, 1147.0, 4192.0, 629.0, 1205.0, 139.0, 75.0, 17.0, 324.0, 344.0, 161.0, 0.287, 0.345, 0.369, 96.0, -2.0, -16.0, 558.0, 182.0, 68.0, 0.0, 0.966, 50.0, -4.6, O, 0, 1
LARRY BIITTNER, 14.0, 1217.0, 3151.0, 310.0, 861.0, 144.0, 20.0, 29.0, 354.0, 236.0, 287.0, 0.273, 0.326, 0.359, 87.0, -37.0, -54.0, 358.0, 10.0, 12.0, -4.0, 0.97, 13.0, -9.0, O, 0, 1
STEVE BILKO, 10.0, 600.0, 1738.0, 220.0, 432.0, 85.0, 13.0, 76.0, 276.0, 234.0, 395.0, 0.249, 0.339, 0.444, 103.0, 13.0, 6.0, 262.0, 2.0, 4.0, 0.0, 0.992, 22.0, 0.1, 1, 0, 1
JOSH BILLINGS, 11.0, 243.0, 488.0, 44.0, 106.0, 12.0, 5.0, 0.0, 29.0, 23.0, 73.0, 0.217, 0.268, 0.262, 47.0, -33.0, -36.0, 40.0, 5.0, 0.0, 0.0, 0.964, 8.0, -1.7, C, 0, 1
